@relation Homer-Bart

@attribute colorOrange numeric
@attribute colorWhite numeric
@attribute colorBlue numeric
@attribute colorBrown numeric
@attribute classe {Homer, Bart}

@data
0.000000,0.998506,0.747126,0.000000,Homer
0.000000,0.870094,0.521544,0.073622,Homer
0.000000,0.908020,0.635578,0.004945,Homer
0.000000,0.744599,0.239268,0.032927,Homer
0.000000,0.856654,0.090264,0.166787,Homer
0.000000,0.995022,0.000000,0.000000,Homer
0.000000,0.923689,0.578645,0.119728,Homer
0.067955,0.900371,0.559954,0.118749,Homer
0.000000,0.841088,0.096826,0.071149,Homer
0.000000,0.893685,0.535005,0.109763,Homer
0.000000,0.925333,0.000000,0.143538,Homer
0.000000,0.626787,0.001259,0.167039,Homer
0.000000,0.672479,0.000722,0.141072,Homer
0.000000,0.999964,0.999929,0.998525,Homer
0.000000,0.901238,0.021431,0.270737,Homer
0.000000,0.714283,0.000000,0.169746,Homer
0.000000,0.999989,0.999414,0.961538,Homer
0.000000,0.999971,0.999909,0.998374,Homer
0.000000,0.647441,0.105102,0.094071,Homer
0.000000,0.745415,0.000936,0.052475,Homer
0.000000,0.999982,0.999954,0.998607,Homer
0.000000,0.814357,0.000000,0.160109,Homer
0.000000,0.855250,0.164588,0.163090,Homer
0.000000,0.811037,0.001113,0.084468,Homer
0.000000,0.867215,0.000802,0.600945,Homer
0.000000,0.673441,0.001777,0.268209,Homer
0.000000,0.776475,0.226537,0.157159,Homer
0.000000,0.835702,0.474669,0.102899,Homer
0.000000,0.801687,0.000000,0.200528,Homer
